Ngân hàng,Tab,Nhóm,Yêu cầu,Diễn giải đáp ứng
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),"Giải pháp cho phép người quản trị kết xuất báo cáo ra nhiều định dạng khác nhau (XML, Excel, PDF, CSV)","Đáp ứng hoàn toàn! Hệ thống Smart CRM cho phép trích xuất báo cáo theo chức danh và đơn vị kinh doanh. Dữ liệu kết xuất đảm bảo tính chính xác, minh bạch, phục vụ trực tiếp cho công tác nhân sự như xếp loại, khen thưởng và kỷ luật theo quy định của [BANK_NAME]. 1. Xuất báo cáo đa chiều: + Theo thời điểm và kỳ báo cáo: Hỗ trợ trích xuất dữ liệu theo kỳ (Tháng, quý, năm) hoặc theo khoảng thời gian tùy chỉnh để đánh giá tiến độ hoàn thành chỉ tiêu. + Theo chức danh và khu vực: Hệ thống cho phép lọc và xuất file theo sơ đồ tổ chức của [BANK_NAME] (ví dụ: Xuất kết quả KPI của toàn bộ RM phân khúc MSME tại khu vực miền Bắc hoặc kết quả của các Giám đốc PGD trên toàn hệ thống) 2. Xử lý ngầm:  Đối với danh sách số lượng lớn (trên 1000 bản ghi), hệ thống sẽ xử lý ngầm và gửi thông báo kèm đường dẫn tải kết quả qua Email để đảm bảo hiệu năng hệ thống"
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),"Giải pháp cho phép người quản trị kết xuất báo cáo ra nhiều định dạng khác nhau (XML, Excel, PDF, CSV)",[MISSING_DATA]
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),"Giải pháp cần hỗ trợ các công cụ quản lý và tùy biến các báo cáo nêu trên (ví dụ: web portal, client application, mobility…).","Đáp ứng 1 phần! Hệ thống Smart CRM cung cấp bộ công cụ quản trị và tùy biến báo cáo tập trung, đa nền tảng. Người dùng có thể thiết kế, cấu hình và xem báo cáo linh hoạt trên giao diện Web Portal.  Tuy nhiên, dựa trên kinh nghiệm triển khai các yêu cầu báo cáo ở các ngân hàng khác, chúng tôi nhận thấy các yêu cầu về báo cáo cần có sự tuỳ biến dựa trên nhu cầu thực tế của nghiệp vụ. Vì vậy, trong quá trình triển khai, Mobio sẵn sàng trao đổi và triển khai để phù hợp với nhu cầu của [BANK_NAME]. Chi phí tuỳ biến để đáp ứng hoàn toàn yêu cầu nếu có thể ""làm rõ và giới hạn"" trong quá trình phân tích GAP chúng tôi cam kết đã bao gồm trong giá chào của gói thầu.  Tuy nhiên nếu phía Ngân Hàng muốn có chức năng dạng BI (ví dụ tương đương PowerBI) để có thể chủ động kéo thả, tạo lệnh truy vấn và tạo ra ""báo cáo động"" thì phần này sẽ phát sinh chi phí Ngoài báo giá chào thầu.  Các tính năng đã có sẵn + Tạo báo cáo: Trên giao diện Web, quản trị viên và người dùng có thẩm quyền có thể tự xây dựng báo cáo bằng cách kéo thả các trường dữ liệu. Hệ thống hỗ trợ tùy biến các biểu đồ, bảng biểu và bộ lọc dữ liệu theo nhu cầu nghiệp vụ cụ thể của [BANK_NAME]. Người dùng có thể cấu hình thời điểm tạo báo cáo (Báo cáo tuần, báo cáo tháng...) và đối tượng nhận báo cáo.  + Hệ thống cho phép cấu hình quyền xem/tùy biến báo cáo theo từng vai trò. VD: CBB chỉ được xem báo cáo cá nhân, trong khi Giám đốc chi nhánh có quyền tùy biến báo cáo đơn vị"
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),"Giải pháp phải hỗ trợ các dashboard có sẵn phục vụ công tác nghiệp vụ hàng ngày của các đối tượng người dùng trên hệ thống: đối với từng tiêu chí trong hệ thống đều có thể tạo dashboard, có hỗ trợ bộ lọc để người dùng có thể xem được nhiều chiều dashboard theo những tiêu chí cụ thể ví dụ: danh mục KH tiềm năng, cơ hội bán hàng, tình hình thực hiện chỉ tiêu/KPIs, Tỷ lệ KH phàn nàn, báo cáo về tỷ lệ số lượng KH tiềm năng đã chuyển thành KH hiện hữu....","Đáp ứng 1 phần! Hệ thống Smart CRM cung cấp bộ công cụ quản trị Dashboard để hỗ trợ đội ngũ nghiệp vụ theo dõi và điều chỉnh vận hành. Tuy nhiên, dựa trên kinh nghiệm triển khai các yêu cầu báo cáo ở các ngân hàng khác, chúng tôi nhận thấy các yêu cầu về Dashboard cần có sự tuỳ biến dựa trên nhu cầu thực tế của nghiệp vụ. Vì vậy, trong quá trình triển khai, Mobio sẵn sàng trao đổi và triển khai để phù hợp với nhu cầu của [BANK_NAME]. Chi phí tuỳ biến để đáp ứng hoàn toàn yêu cầu, đã được bao gồm trong giá chào của gói thầu.  Các tính năng đã có sẵn + Cung cấp template Dashboard có sẵn: Hệ thống cung cấp các template Dashboard có sẵn để người dùng có thể sử dụng nhanh chóng. + Kéo thả để tạo Dashboard: Người dùng không cần có kiến thức lập trình vẫn có thể tự tạo các bảng biểu, đồ thị bằng cách kéo các trường dữ liệu vào khu vực thiết kế. Hệ thống hỗ trợ đa dạng các loại biểu đồ (Cột, tròn, đường, phễu…). Người dùng có thể cấu hình thời điểm tạo báo cáo (Báo cáo tuần, báo cáo tháng...) và đối tượng nhận báo cáo.  + Lọc Dashboard đa chiều: Người dùng có thể sử dụng bộ lọc để xem Dashboard theo nhiều chiều như khu vực, phân khúc khách hàng, dòng sản phẩm hoặc trạng thái xử lý hồ sơ. + Cập nhật thời gian thực: Các Dashboard được cập nhật với thời gian thực khi dữ liệu được cập nhật trên CRM."
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),"Giải pháp phải hỗ trợ các dashboard có sẵn phục vụ công tác nghiệp vụ hàng ngày của các đối tượng người dùng trên hệ thống: đối với từng tiêu chí trong hệ thống đều có thể tạo dashboard, có hỗ trợ bộ lọc để người dùng có thể xem được nhiều chiều dashboard theo những tiêu chí cụ thể ví dụ: danh mục KH tiềm năng, cơ hội bán hàng, tình hình thực hiện chỉ tiêu/KPIs, Tỷ lệ KH phàn nàn, báo cáo về tỷ lệ số lượng KH tiềm năng đã chuyển thành KH hiện hữu....",[MISSING_DATA]
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),"Giải pháp hỗ trợ quản lý tình hình thực hiện kế hoạch chỉ tiêu kinh doanh từ hội sở đến đơn vị kinh doanh và đến từng cấp cán bộ bán hàng trên toàn hệ thống: hỗ trợ trong việc phân giao chỉ tiêu, đánh giá tình hình thực hiện chỉ tiêu theo từng kỳ.","Đáp ứng 1 phần! Tính năng này sẽ cần được customize riêng theo đặc thù của từng ngân hàng. Chúng tôi đã triển khai thành công tính năng tương tự tại MSB và Eximbank, xử lý các công thức tính toán phức tạp cho hơn 4,000 CBB đang hoạt động ổn định (Go-live), thời gian triển khai hoàn thành trong 4 tháng. Dựa trên kinh nghiệm triển khai thực tế tại các ngân hàng lớn như MSB và Eximbank, chúng tôi có khả năng đáp ứng các yêu cầu kinh doanh của [BANK_NAME]. Chi phí tuỳ biến để đáp ứng hoàn toàn yêu cầu, đã được bao gồm trong giá chào của gói thầu.  Các tính năng đã có sẵn + Thiết lập mục tiêu theo sản phẩm và chức danh: Hệ thống cho phép Quản trị viên định nghĩa bộ chỉ tiêu riêng biệt cho từng nhóm chức danh (ví dụ: RM, Giám đốc chi nhánh) gắn liền với các sản phẩm mục tiêu (Vay, Huy động, Thẻ) được chọn từ danh mục sản phẩm. + Cấu trúc chỉ tiêu đa cấp (Cha-con): Hỗ trợ thiết lập các chỉ tiêu tổng (KPI cha) và các chỉ tiêu thành phần (KPI con). Kết quả thực hiện của chỉ tiêu con sẽ được tự động tổng hợp hoặc tác động trực tiếp đến việc hoàn thành chỉ tiêu cha theo trọng số cấu hình. + Quản lý thời gian hiệu lực: Mỗi bộ chỉ tiêu được gắn với khung thời gian hiệu lực cụ thể (theo tháng, quý, năm hoặc theo giai đoạn chiến dịch). Hệ thống tự động kích hoạt hoặc đóng chỉ tiêu khi đến hạn, đảm bảo việc ghi nhận kết quả luôn chính xác theo chính sách tại thời điểm đó. + Quản lý danh sách mục tiêu: Cung cấp giao diện quản trị tập trung để tạo, chỉnh sửa và theo dõi danh sách mục tiêu áp dụng KPI cho toàn bộ mạng lưới đơn vị kinh doanh. + Tự động nhận diện và phân công: Khi một nhân sự được khởi tạo hoặc cập nhật thông tin vị trí, chức danh trên CRM (đồng bộ từ Core/HRM), hệ thống tự động đối soát với các chính sách đang hoạt động để gán bộ KPI tương ứng. Quá trình này diễn ra tức thì, loại bỏ việc thao tác thủ công và sai sót dữ liệu."
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),"Giải pháp hỗ trợ quản lý tình hình thực hiện kế hoạch chỉ tiêu kinh doanh từ hội sở đến đơn vị kinh doanh và đến từng cấp cán bộ bán hàng trên toàn hệ thống: hỗ trợ trong việc phân giao chỉ tiêu, đánh giá tình hình thực hiện chỉ tiêu theo từng kỳ.",[MISSING_DATA]
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),"Giải pháp dự đoán được kết quả hoàn thành chỉ tiêu KPIs trong kỳ đối với mỗi cán bộ bán hàng, các đơn vị kinh doanh và Hội sở","Đáp ứng 1 phần! Hệ thống SmartCRM đã hỗ trợ việc theo dõi khoảng cách (GAP) giữa kết quả thực tế và chỉ tiêu (KPI) được giao.  Đối với các tính năng dự báo chuyên sâu dựa trên dữ liệu lớn và hành vi, chúng tôi đang triển khai tích hợp AI trong lộ trình công nghệ năm 2026. Chi phí để đáp ứng hoàn toàn yêu cầu, đã được bao gồm trong giá chào của gói thầu.  Các tính năng đã có sẵn + Tự động tính toán GAP: Dựa trên dữ liệu kế hoạch được phân bổ từ hệ thống lõi và kết quả thực hiện thực tế, hệ thống tự động tính toán tỷ lệ hoàn thành (%) và giá trị còn thiếu (GAP) theo từng ngày. + Nhắc nhở đa kênh: Các cảnh báo được gửi đa kênh (Sales App, Email), đảm bảo CBBH nhận được thông tin kịp thời ở mọi giai đoạn (Tuần/Tháng/Quý) để kịp thời bù đắp các chỉ tiêu còn thiếu."
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),"Giải pháp hỗ trợ tạo phân quyền: cấp quản lý có quyền xem, gán, ghi chú và chỉnh sửa đối với các công việc của cấp dưới và có các dashboard tổng thể về tình hình thực hiện kế hoạch của cán bộ bán hàng","Đáp ứng hoàn toàn! Hệ thống đáp ứng hoàn toàn yêu cầu phân quyền việc xem, gán, ghi chú và chỉnh sửa công việc và dashboard cho người dùng theo chức danh. Bằng việc kết hợp hai mô hình phân quyền tiên tiến là RBAC (Dựa trên vai trò) và ABAC (Dựa trên thuộc tính), Admin có thể thiết lập quyền xem và phân bổ dữ liệu một cách linh hoạt, chính xác đến từng CBB. 1. Quản lý công việc của cấp dưới + Phân quyền theo vai trò (RBAC): Admin định nghĩa các vai trò tương ứng với chức danh (Ví dụ: CBBH, Kiểm soát viên, Giám đốc Trung tâm). Mỗi vai trò sẽ có quyền hạn mặc định đối với các tính năng và loại dữ liệu cụ thể trong hệ thống. Cấp quản lý mặc định có quyền xem, gán mới, ghi chú và chỉnh sửa các tác vụ/kế hoạch của nhân viên thuộc sơ đồ tổ chức của mình. + Phân quyền chi tiết theo thuộc tính (ABAC): Đây là lớp bảo mật nâng cao để xử lý các tình huống nghiệp vụ thực tế: + Theo đơn vị công tác: Giám đốc chi nhánh A có thể xem, gán công việc, và chỉnh sửa cho tất cả cán bộ bán hàng của Chi nhánh A, nhưng không thể truy cập được công việc của của chi nhánh B + Theo Danh mục quản lý (Portfolio): CBBH chỉ được quyền chỉnh sửa thông tin công việc được phân bổ trực tiếp cho mình (Owner). 2. Dashboard giám sát tổng thể cho Quản lý: + View số liệu đa tầng: Cung cấp Dashboard tổng thể về tình hình thực hiện kế hoạch của toàn bộ đội ngũ CBB dưới quyền. Quản lý có thể theo dõi tỷ lệ hoàn thành cuộc gọi, lịch họp và doanh số theo thời gian thực. + Các dashboard cũng được áp dụng RBAC và ABAC để đảm bảo các dashboard chỉ hiển thị cho đúng đối tượng."
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),"Giải pháp hỗ trợ tạo phân quyền: cấp quản lý có quyền xem, gán, ghi chú và chỉnh sửa đối với các công việc của cấp dưới và có các dashboard tổng thể về tình hình thực hiện kế hoạch của cán bộ bán hàng",[MISSING_DATA]
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),"Giải pháp hỗ trợ tạo phân quyền: cấp quản lý có quyền xem, gán, ghi chú và chỉnh sửa đối với các công việc của cấp dưới và có các dashboard tổng thể về tình hình thực hiện kế hoạch của cán bộ bán hàng",[MISSING_DATA]
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),"Giải pháp có áp dụng LLM và AI vào việc phân tích, đánh giá, gợi ý... hỗ trợ người dùng, đảm bảo việc sử dụng hệ thống theo nhiều chiều và tiện ích","Đáp ứng 1 phần! Đối với các tính năng dự báo chuyên sâu dựa trên dữ liệu lớn và hành vi, chúng tôi đang triển khai tích hợp AI trong lộ trình công nghệ năm 2026. Tuy nhiên, để các tính năng liên quan đến LLM và AI thực sự đem đến hiệu quả, các tính năng này cần được tinh chỉnh để phù hợp với nghiệp vụ của [BANK_NAME]. Chi phí phát triển để đáp ứng hoàn toàn yêu cầu, đã được bao gồm trong giá chào của gói thầu. Bên cạnh đó, ngân hàng cần chi trả chi phí token cho việc sử dụng các model của OpenAI Enterprise/Google Gemini Enterprise để chức năng AI có thể vận hành."
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),Yêu cầu chung giải pháp trên nền tảng di động,"Hệ thống SmartCRM đáp ứng hoàn toàn các yêu cầu chung giải pháp Mobile Sale App trên nền tảng di động, với chi tiết diễn giải bên dưới cho từng hạng mục"
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),Giải pháp phải được thiết kế hỗ trợ cán bộ bán hàng có đầy đủ thông tin để kinh doanh mọi lúc mọi nơi,"Đáp ứng hoàn toàn!  Mobio đáp ứng cung cấp ứng dụng Mobile Sales App chuyên biệt dành cho lực lượng bán hàng tuyến đầu, được thiết kế theo định hướng ""Văn phòng di động"" (Mobile Office). Giải pháp hỗ trợ Cán bộ bán hàng (CBBH) truy cập đầy đủ hệ sinh thái dữ liệu và công cụ nghiệp vụ ngay trên thiết bị cá nhân, đảm bảo khả năng kinh doanh linh hoạt mọi lúc mọi nơi mà không phụ thuộc vào máy tính hay làm việc tại quầy. Hệ thống giải quyết yêu cầu thông qua việc tích hợp toàn diện các tính năng tác nghiệp trên thiết bị di động: - Hỗ trợ giao dịch và đăng ký dịch vụ: CBBH có thể thực hiện các nghiệp vụ cốt lõi ngay tại thực địa như: Mở CIF cho khách hàng mới, đăng ký các sản phẩm dịch vụ (thẻ, vay, bảo hiểm) theo chính sách của ngân hàng thông qua các form đăng ký tối ưu cho mobile. - Công cụ hỗ trợ kinh doanh: Cung cấp thông tin khách hàng 360 (Customer 360), quản lý công việc, quản lý danh sách Lead/Cơ hội bán và nhận thông báo (Push Notification) về các sự kiện quan trọng của khách hàng theo thời gian thực. -  Cẩm nang Sản phẩm & Dịch vụ (Sales Kit): Tích hợp kho tài liệu số giúp CBBH tra cứu nhanh thông tin tính năng sản phẩm, biểu phí, và các chương trình khuyến mãi đang hiệu lực để tư vấn chính xác cho khách hàng. - Tra cứu thông tin nghiệp vụ:  +  Tra cứu tỷ giá/lãi suất: Cập nhật thông tin thị trường mới nhất của ngân hàng để tư vấn chính xác. + Tra cứu CIC & LOS: Kết nối dữ liệu để kiểm tra tình trạng tín dụng và tiến độ hồ sơ vay của khách hàng mọi lúc. - Cơ chế vận hành và tích hợp:  Các nghiệp vụ tra cứu dữ liệu (CIC, LOS, Core), đăng ký dịch vụ được thực hiện thông qua kết nối API. Việc triển khai đòi hỏi sự phối hợp đối ứng từ đội ngũ IT của Ngân hàng, về chi phí tích hợp liên quan đã được chúng tôi bao gồm trong mục phí triển khai (Implementation Cost) của hồ sơ chào thầu. - Tính sẵn sàng và bảo mật: App được thiết kế tinh gọn, ưu tiên các tính năng thực địa giúp xử lý công việc nhanh nhất. Đồng thời, hệ thống áp dụng các tiêu chuẩn bảo mật ngân hàng (masking dữ liệu, chống chụp ảnh màn hình,..) để bảo vệ thông tin khi làm việc bên ngoài văn phòng."
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),Giải pháp phải được thiết kế hỗ trợ cán bộ bán hàng có đầy đủ thông tin để kinh doanh mọi lúc mọi nơi,[MISSING_DATA]
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),"Hệ thống phải hỗ trợ người dùng nắm được thông tin nhanh chóng, kịp thời về các quy trình, quy định để hỗ trợ bán hàng","Đáp ứng hoàn toàn!  Hệ thống Smart CRM được thiết kế để trở thành một trung tâm tri thức số, giúp Cán bộ bán hàng (CBBH) tra cứu tức thời các quy trình, quy định và hướng dẫn nghiệp vụ. Thông qua tính năng Cẩm nang sản phẩm & Sổ tay bán hàng (Sales Kit) và hệ thống Thông báo (Notification), người dùng luôn được cập nhật những thay đổi mới nhất về chính sách để hỗ trợ bán hàng hiệu quả. Hệ thống giải quyết yêu cầu thông qua các tính năng cốt lõi sau: - Cẩm nang Sản phẩm & Sổ tay bán hàng (Sales Kit) trên Mobile App: Hệ thống tích hợp kho tài liệu số cho phép CBBH tra cứu nhanh thông tin tính năng sản phẩm, biểu phí, quy trình nghiệp vụ và các chương trình ưu đãi đang hiệu lực. Tài liệu được tổ chức khoa học, hỗ trợ nhiều định dạng (PDF, hình ảnh, slide) giúp CBBH tư vấn chính xác cho khách hàng ngay tại thực địa. - Hệ thống thông báo thời gian thực (Push Notification): Mọi thay đổi về quy trình, quy định mới từ Hội sở được đẩy trực tiếp đến thiết bị di động của CBBH (thông qua Workflow Automation). Điều này đảm bảo thông tin được truyền tải kịp thời, loại bỏ độ trễ so với các phương thức truyền thống như email hay văn bản giấy."
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),"Hệ thống phải hỗ trợ người dùng nắm được thông tin nhanh chóng, kịp thời về các quy trình, quy định để hỗ trợ bán hàng",[MISSING_DATA]
